[<15:52:46>]   cpu_agent: cpu: 42.86 | processes: 430
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:47>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:48>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:48>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:48>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:48>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:48>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:48>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:48>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:48>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:45:48>]   network_agent: site_connection: 0 | inet_throughput: 69.7096
[<18:46:55>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:55>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:55>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:59>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:59>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:59>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:59>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:59>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:59>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:59>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:59>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:59>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:59>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:59>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:59>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:46:59>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:00>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:00>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:00>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:00>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:00>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:00>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:00>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:00>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:00>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:00>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:00>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:00>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:00>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:01>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:01>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:01>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:01>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:01>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:01>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:01>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:01>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:01>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:01>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:01>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:01>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:01>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:02>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:02>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:02>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:02>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:02>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:02>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:02>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:02>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:02>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:02>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:02>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:02>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:02>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:02>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:03>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:03>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:03>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:03>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:03>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:03>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:03>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:03>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:03>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:03>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:03>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:03>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:03>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:20>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:20>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:20>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:20>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:20>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:20>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:20>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:20>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:20>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:21>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:21>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:21>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:21>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:21>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:21>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:21>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:21>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:21>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:21>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:21>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:21>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:21>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:21>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:22>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:22>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:22>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:22>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:22>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:22>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:22>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:22>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:22>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:22>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:22>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:22>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:22>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:23>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:23>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:23>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:23>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:23>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:23>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:23>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:23>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:23>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:23>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:23>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:23>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:23>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:23>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:24>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:24>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:24>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:24>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:24>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:24>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:24>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:24>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:24>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:24>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:24>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:24>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:24>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:24>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:24>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:24>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:25>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 1 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:26>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:27>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
[<18:47:28>]   network_agent: site_connection: 0 | inet_throughput: 69.7098
